iter	Passed	Remaining
0	0	67
1	1	67
2	2	65
3	2	61
4	3	63
5	4	63
6	4	61
7	5	61
8	6	61
9	6	60
10	7	59
11	8	58
12	8	57
13	9	56
14	9	55
15	10	54
16	10	53
17	11	52
18	12	51
19	12	50
20	13	50
21	14	49
22	14	49
23	15	48
24	16	48
25	16	47
26	17	46
27	17	46
28	18	46
29	20	47
30	21	47
31	22	47
32	23	47
33	24	47
34	25	46
35	26	46
36	26	45
37	27	45
38	28	45
39	29	44
40	30	44
41	31	42
42	31	42
43	32	41
44	33	40
45	33	39
46	34	38
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	32
57	43	31
58	44	30
59	46	30
60	47	30
61	50	31
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	61	25
71	62	24
72	64	23
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	70	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	79	11
87	80	10
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	85	5
94	86	4
95	87	3
96	88	2
97	88	1
98	89	0
99	90	0
